Référence	ContexteGauche	Pivot	ContexteDroit
C_chapitre_22	à la comédie. On y jouait une	tragédie	nouvelle. Candide se trouva placé auprès de quelques beaux esprits.
C_chapitre_22	la reine Élisabeth, dans une assez plate	tragédie	[50], que l’on joue quelquefois. « Cette
C_chapitre_22	en livres, et il a fait une	tragédie	sifflée, et un livre dont on n’a jamais vu hors
