Unité	F	f_chapitre 01	score_chapitre 01	f_chapitre 02	score_chapitre 02	f_chapitre 03	score_chapitre 03	f_chapitre 04	score_chapitre 04	f_chapitre 05	score_chapitre 05	f_chapitre  06	score_chapitre  06	f_chapitre 07	score_chapitre 07	f_chapitre 08	score_chapitre 08	f_chapitre 09	score_chapitre 09	f_chapitre 10	score_chapitre 10	f_chapitre 11	score_chapitre 11	f_chapitre 12	score_chapitre 12	f_chapitre 13	score_chapitre 13	f_chapitre 14	score_chapitre 14	f_chapitre 15	score_chapitre 15	f_chapitre 16	score_chapitre 16	f_chapitre 17	score_chapitre 17	f_chapitre 18	score_chapitre 18	f_chapitre 19	score_chapitre 19	f_chapitre 20	score_chapitre 20	f_chapitre 21	score_chapitre 21	f_chapitre 22	score_chapitre 22	f_chapitre 23	score_chapitre 23	f_chapitre 24	score_chapitre 24	f_chapitre 25	score_chapitre 25	f_chapitre 26	score_chapitre 26	f_chapitre 27	score_chapitre 27	f_chapitre 28	score_chapitre 28	f_chapitre 29	score_chapitre 29	f_chapitre 30	score_chapitre 30
PRO:DEM	582	8	-1.1642	15	0.3534	11	-0.5425	25	0.989	9	-1.5054	2	-1.5936	13	0.3375	20	0.3884	13	0.774	12	0.3005	28	1.3417	19	-0.5752	13	-0.2997	20	-0.2744	8	-0.9304	28	0.9381	20	-0.353	30	-0.435	32	0.3806	19	0.7737	12	0.4451	69	0.7721	18	2.6652	28	-0.2904	42	1.2301	9	-2.4323	29	0.9404	7	-2.0795	6	-0.2909	17	-1.8949
NUM	545	13	0.2855	27	3.3545	13	0.2894	12	-1.0298	9	-1.2744	10	0.8683	4	-2.0161	9	-1.7396	6	-0.6901	14	0.6817	13	-0.968	28	1.105	5	-1.9472	19	-0.2521	11	-0.3116	26	0.8734	20	0.2792	46	2.4289	53	4.878	11	-0.5851	7	-0.6337	54	-0.4692	9	0.4164	10	-3.8455	23	-1.0576	30	2.0148	27	0.8855	11	-0.7599	4	-0.5854	21	-0.8144
PUN:cit	415	2	-2.5197	5	-1.2134	4	-1.4853	12	-0.3992	10	-0.4324	4	-0.3728	12	0.7632	11	-0.4987	10	0.8214	6	-0.5648	7	-1.5838	17	0.36	10	0.2932	16	0.4235	14	1.1654	22	1.1495	18	0.5809	27	0.6341	22	0.2927	8	-0.5798	2	-1.7128	58	1.777	8	0.6038	20	-0.2753	21	-0.4443	30	3.8228	14	-0.4746	7	-0.9588	4	-0.3064	14	-1.0513
PRO:IND	351	13	1.1338	7	-0.4204	12	0.9014	7	-0.9583	11	0.3875	4	-0.2442	5	-0.6092	9	-0.5115	0	-2.545	4	-0.7798	17	1.0162	14	0.3107	9	0.3569	4	-2.2501	8	0.3122	14	0.3417	17	0.83	25	0.894	23	0.7921	6	-0.6905	8	0.5221	44	0.8798	7	0.6155	25	1.397	17	-0.5054	8	-0.8641	11	-0.5642	5	-1.125	2	-0.6211	15	-0.4505
VER:ppre	163	6	0.7284	10	2.1742	11	2.773	4	-0.4193	9	1.3648	4	0.8515	1	-0.8595	5	-0.2403	3	0.2968	3	-0.2313	5	-0.2882	5	-0.4029	7	1.0459	6	0.2968	4	0.3294	5	-0.3795	5	-0.348	1	-3.0466	10	0.4545	5	0.3928	2	-0.3615	14	-0.6026	0	-1.0265	6	-0.5094	9	-0.2467	6	0.2998	2	-1.3658	7	0.7767	2	0.2579	6	-0.5051
VER:futu	139	0	-1.439	3	-0.2495	0	-1.4344	1	-1.2529	2	-0.615	0	-0.7453	3	0.2474	3	-0.4627	2	-0.2236	5	0.8304	1	-1.3294	5	-0.2593	1	-0.796	10	1.6174	8	1.966	6	0.3682	6	0.3991	15	1.9576	11	0.9434	1	-0.8986	3	0.3383	12	-0.5507	1	-0.3932	11	1.0991	10	0.5934	6	0.4512	7	0.515	1	-1.0008	4	1.1325	1	-2.1138
VER:cond	102	1	-0.5161	0	-1.0899	1	-0.5137	3	-0.243	0	-1.2747	0	-0.5467	0	-0.948	5	0.6381	1	-0.3036	3	0.4746	3	-0.2695	5	0.4451	5	1.0358	4	0.3205	1	-0.4549	5	0.4667	1	-0.9639	5	-0.3076	13	2.5826	3	0.3133	0	-0.8066	10	-0.3169	0	-0.6418	5	0.2496	8	0.6689	1	-0.8986	10	2.1639	1	-0.6525	2	0.4933	6	0.4204
VER:subp	75	0	-0.7758	0	-0.8011	4	1.002	2	-0.2563	1	-0.4331	4	1.865	0	-0.6968	0	-1.0632	2	0.4544	8	3.8872	1	-0.5704	4	0.4829	3	0.5895	3	0.3111	1	-0.2867	3	0.266	2	-0.3191	2	-0.6917	3	-0.3548	1	-0.3717	5	1.9398	6	-0.5093	2	0.5332	3	-0.304	7	0.894	2	-0.2891	3	0.2449	2	-0.1831	0	-0.3711	1	-0.9448
VER:subi	51	1	-0.1791	2	0.4533	5	2.1707	0	-0.7366	2	0.3708	0	-0.2732	3	1.0306	2	0.3097	3	1.2852	0	-0.4486	2	0.2806	1	-0.3883	2	0.4729	0	-0.7869	0	-0.4834	0	-0.853	1	-0.3576	1	-0.669	5	0.8937	4	1.3846	0	-0.403	3	-0.701	1	0.2822	2	-0.2664	1	-0.6747	3	0.5835	4	0.8552	0	-0.622	1	0.356	2	-0.2648
INT	19	0	-0.1964	1	0.4282	1	0.4403	1	0.3295	0	-0.2372	3	2.8155	0	-0.1764	0	-0.2692	0	-0.1372	1	0.4958	0	-0.287	0	-0.325	0	-0.1958	2	0.8513	0	-0.18	1	0.285	0	-0.3075	0	-0.4741	2	0.5806	0	-0.2139	0	-0.1501	0	-0.9212	2	1.5232	2	0.6239	0	-0.477	1	0.3103	0	-0.3306	0	-0.2316	0	-0.0939	2	0.6258
PRO	17	0	-0.1757	1	0.4666	0	-0.1752	0	-0.2454	0	-0.2122	0	-0.091	0	-0.1578	0	-0.2408	0	-0.1227	1	0.5358	0	-0.2568	1	0.3115	0	-0.1752	1	0.3437	0	-0.1611	2	0.8748	0	-0.2751	1	0.2052	1	0.222	2	1.1611	2	1.4332	1	-0.3459	0	-0.1069	1	0.2411	0	-0.4268	0	-0.2612	0	-0.2958	2	1.1018	0	-0.084	1	0.242
PRO:POS	13	1	0.5749	0	-0.1387	0	-0.1339	0	-0.1877	0	-0.1623	0	-0.0696	0	-0.1207	0	-0.1841	0	-0.0939	3	2.7049	0	-0.1964	1	0.3972	0	-0.1339	0	-0.2005	1	0.6074	0	-0.2173	2	1.0978	1	0.2789	1	0.298	0	-0.1463	0	-0.1027	0	-0.6302	0	-0.0817	1	0.3194	1	0.2771	0	-0.1998	0	-0.2262	0	-0.1585	1	0.8615	0	-0.2825
ABR	6	0	-0.062	0	-0.064	0	-0.0618	0	-0.0866	0	-0.0749	0	-0.0321	0	-0.0557	1	0.7503	0	-0.0433	0	-0.0527	0	-0.0906	0	-0.1026	0	-0.0618	2	1.7796	0	-0.0568	0	-0.1003	1	0.6983	0	-0.1497	0	-0.1403	0	-0.0675	0	-0.0474	0	-0.2908	0	-0.0377	0	-0.1308	0	-0.1506	0	-0.0922	0	-0.1044	2	1.9723	0	-0.0297	0	-0.1304
