Unité	F	f_Gilblas	score_Gilblas	f_LettresPersanes	score_LettresPersanes	f_Cleveland	score_Cleveland	f_ManonLescaut	score_ManonLescaut	f_Sethos	score_Sethos	f_Marquise	score_Marquise	f_Cabinet	score_Cabinet	f_Marianne	score_Marianne	f_Paysanne	score_Paysanne	f_Egarements	score_Egarements	f_MMeLuz	score_MMeLuz	f_Grecque	score_Grecque	f_Confessions	score_Confessions	f_Candide	score_Candide
la|le	10346	1137	-27.914	529	3.2836	2978	7.1651	361	0.4272	1196	0.5972	273	-2.1805	312	3.4682	903	3.7116	969	-13.9696	525	7.0978	202	1.9038	543	2.6194	265	0.951	153	-3.2311
si	9568	1282	-3.7757	478	2.3514	2953	21.2903	398	4.1378	425	-126.7276	458	19.4298	215	-1.1177	685	-1.9255	1292	7.3578	477	5.7254	109	-4.834	534	4.8489	140	-9.7036	122	-5.964
avec	8913	1214	-2.6649	225	-20.8707	2882	34.2516	347	2.0248	721	-23.8429	197	-6.1631	165	-4.3853	592	-4.6382	1095	1.3289	368	0.5076	130	-1.1503	557	11.3465	294	7.5009	126	-3.6261
au	8857	1417	3.5523	365	-1.1001	2299	-0.8714	282	-0.971	1579	71.7476	181	-8.576	142	-7.9991	437	-26.0436	986	-1.3318	201	-19.3345	152	0.4535	433	0.8248	189	-1.1475	194	1.5509
dire	8791	1786	45.7426	398	0.4691	1112	-220.5168	300	-0.3163	560	-56.5001	250	-0.8806	429	37.3226	1463	164.355	1140	3.8244	470	9.0705	103	-4.0228	214	-26.7819	158	-3.9117	408	56.6761
on	8380	900	-25.9751	561	20.5178	1346	-114.5827	161	-15.9891	1398	47.4458	217	-2.2029	349	19.2288	921	24.9302	1226	15.3987	523	21.3894	110	-2.245	223	-20.3809	202	0.3733	243	9.5283
mais	8163	834	-32.5458	337	-1.0269	2123	-0.7704	285	0.4141	1096	8.4059	337	7.3645	246	2.8697	696	2.1895	877	-2.4943	398	4.1285	145	0.6633	449	3.6904	210	0.8955	130	-1.7081
par	8125	897	-21.5493	362	0.3303	2554	22.8906	260	-0.8713	1678	128.1458	160	-9.09	137	-6.1468	345	-37.7145	624	-32.5184	223	-9.4821	133	-0.3408	447	3.6841	183	-0.6055	122	-2.4596
y	7501	1069	-0.8295	467	12.2882	1778	-7.7407	265	0.4979	590	-23.0956	227	-0.3353	306	15.83	913	39.5394	838	-1.1198	299	-0.3446	92	-2.9041	285	-3.7681	220	2.9404	152	0.6414
:	7216	1248	9.3358	902	166.809	651	-305.5275	72	-39.8062	805	-0.5085	241	1.0693	416	53.026	675	6.2249	1419	83.7278	338	2.5624	117	-0.3762	29	-106.5684	97	-9.5502	206	7.7125
même	7153	702	-34.1461	316	-0.3091	2312	27.5892	185	-4.5869	1441	101.9299	191	-1.5247	156	-1.2584	430	-8.3925	392	-72.5292	312	1.114	117	-0.3386	382	2.4502	161	-0.5837	56	-14.4869
sur	6112	775	-5.4662	198	-5.9139	1791	6.4182	211	0.3289	1000	31.1491	151	-2.4489	94	-6.5868	301	-18.3948	637	-3.0988	281	1.8822	82	-1.5927	326	2.1601	140	-0.4521	125	0.657
moi	5991	863	-0.5568	152	-14.1331	1542	-1.0053	242	2.2196	161	-136.9691	335	24.2471	157	0.6051	782	44.2214	829	6.5316	344	10.0283	51	-7.3108	311	1.5733	151	0.6211	71	-5.0779
étoit	5976	0	-1000.0	0	-117.8367	3312	1000.0	0	-90.6719	1094	55.5654	95	-12.4548	0	-65.1997	0	-210.4075	1475	169.3863	0	-106.6958	0	-43.5223	0	-123.7958	0	-62.4532	0	-49.95
pouvoir	5906	862	-0.3642	320	3.7095	1356	-9.5914	265	4.9863	353	-45.0445	299	15.9443	144	-0.3519	439	-0.7739	428	-29.4851	510	55.4797	168	10.2575	441	20.8836	201	6.2419	120	0.607
avoit	5745	0	-1000.0	0	-113.2753	3128	1000.0	0	-87.1622	1294	126.8314	59	-24.3315	0	-62.6759	0	-202.2627	1264	107.0397	0	-102.5657	0	-41.8376	0	-119.0037	0	-60.0358	0	-48.0165
?	5732	683	-9.2053	261	0.4727	1123	-33.7974	166	-1.8875	69	-200.8643	494	90.0229	338	45.279	943	103.3862	818	8.6216	384	20.7439	84	-0.8747	165	-11.2783	35	-24.7477	169	7.3401
point	5470	724	-2.9401	214	-1.5065	1882	37.8076	182	-0.4465	404	-22.1652	164	-0.3714	163	1.9627	485	2.7812	566	-3.1055	171	-3.5699	46	-6.9079	295	2.2382	117	-0.87	57	-6.5972
bien	5125	1137	45.9719	275	3.0566	622	-139.6357	140	-2.5777	402	-16.2917	168	0.7324	243	20.0368	715	50.3892	844	23.4122	217	0.641	52	-4.1736	108	-21.4378	83	-3.9656	119	1.738
sans	5066	613	-7.2692	178	-3.237	1665	23.4201	207	2.1791	396	-16.3626	161	0.5024	109	-1.1461	332	-3.3184	545	-1.7509	349	20.7938	76	-0.6945	254	0.9313	137	1.16	44	-8.8772
!	4951	889	9.8709	176	-2.9548	878	-47.4827	179	0.6114	38	-197.5751	384	58.4865	200	10.3224	774	74.9742	745	11.9977	287	8.904	67	-1.3254	114	-17.4794	34	-19.332	186	16.7276
leur	4914	436	-34.1672	450	45.0775	1576	17.7907	58	-22.813	1518	295.5897	46	-23.1781	72	-6.2545	98	-70.653	139	-114.5161	65	-28.1991	91	0.7964	172	-4.4204	87	-2.6541	106	0.9701
voir	4913	825	4.6606	270	3.5962	1052	-16.0008	170	0.3354	217	-66.0926	263	16.9285	206	12.0032	611	29.1737	423	-11.9699	296	10.8593	88	0.6003	260	1.7147	115	-0.3344	117	2.0052
quelque	4771	494	-18.2797	150	-5.484	1971	108.6124	243	8.7156	446	-5.3721	103	-4.0205	75	-4.9574	272	-7.8883	258	-49.9804	146	-3.5962	88	0.761	362	18.362	99	-1.0321	64	-2.7629
votre	4719	725	1.0111	152	-4.8687	1000	-16.7241	92	-9.0281	508	-0.9732	574	169.1696	109	-0.6089	405	1.664	598	1.6664	172	-1.007	99	1.8866	135	-9.6214	98	-1.0199	52	-5.0562
comme	4342	650	0.5182	293	11.5554	1157	0.3904	130	-1.2193	690	18.7938	75	-7.6239	123	1.1283	371	1.4883	369	-11.4315	119	-5.4681	47	-3.0091	160	-2.994	89	-1.0693	69	-1.1619
où	4240	637	0.5654	235	3.4167	1109	-0.4906	162	1.0552	564	4.3235	103	-2.0736	95	-0.7617	413	5.6667	422	-3.8134	120	-4.7076	52	-1.8957	204	0.4947	80	-1.7398	44	-5.3216
autre	4219	611	-0.4376	310	16.7432	1039	-2.5007	118	-1.9359	750	34.2585	111	-1.2392	137	2.9354	266	-3.8746	291	-24.9349	132	-2.8938	65	-0.5289	181	-0.8541	113	0.9687	95	1.2394
prendre	3913	614	1.3957	90	-12.0839	1249	13.672	157	1.571	340	-7.5158	90	-2.5918	89	-0.65	312	0.4807	351	-7.7192	149	-0.5802	55	-0.9364	271	9.8313	83	-0.7919	63	-1.014
dont	3818	409	-12.5365	95	-9.7983	1070	1.789	75	-7.3099	627	20.2965	71	-5.5706	100	0.5228	286	-0.5743	518	3.6045	134	-1.2535	68	0.5279	243	5.9977	86	-0.4757	36	-5.9237
celui	3580	265	-40.4639	284	19.6917	932	-0.5537	69	-7.2425	703	46.3054	82	-2.4702	120	3.115	195	-7.5714	385	-1.4109	142	-0.3422	84	2.8536	140	-1.7576	141	7.9671	38	-4.3678
trouver	3450	482	-0.9117	174	1.3342	876	-1.1203	164	4.5416	252	-14.9289	109	0.4287	76	-0.7883	203	-5.033	412	0.4661	179	3.3442	69	1.1511	256	12.2562	148	10.7675	50	-1.5919
la	3397	353	-13.0727	129	-1.4317	952	1.6577	134	1.2493	212	-23.6938	69	-3.8204	98	1.1382	387	13.1261	332	-3.7398	229	13.0384	84	3.5043	246	10.7838	145	10.4201	27	-7.1061
donner	3302	584	5.9581	134	-0.8021	611	-26.6196	90	-1.8954	419	2.0522	110	0.7228	82	0.2955	221	-2.0103	522	11.873	139	0.5181	48	-0.7088	153	-0.2992	116	4.4749	73	0.9541
notre	3297	495	0.518	203	5.535	1457	105.5889	187	10.2971	242	-14.059	53	-7.0509	70	-0.9873	154	-12.2387	180	-34.2338	49	-16.668	17	-8.7246	78	-11.275	64	-1.2678	48	-1.5142
encore	3295	410	-3.9464	88	-7.0753	880	0.409	86	-2.3653	452	4.783	145	4.8638	96	1.2032	336	6.44	278	-9.2128	183	4.9057	76	2.4644	134	-1.2369	83	0.512	48	-1.5097
vouloir	3248	654	16.5779	207	6.6202	334	-116.3783	105	-0.5383	186	-27.7958	202	19.7804	123	5.3309	359	10.6166	433	2.6007	291	34.8389	74	2.2938	119	-2.4803	97	1.8245	64	0.3902
homme	3188	529	2.8385	307	34.927	528	-40.0052	76	-3.4031	507	14.1357	79	-1.524	195	28.4835	243	-0.4104	294	-5.4275	83	-5.0391	62	0.9242	88	-7.5019	93	1.5518	104	6.7027
ou	3070	298	-15.9017	161	1.7473	687	-7.0549	94	-0.8467	810	116.1819	65	-3.0355	101	2.4953	239	0.299	203	-20.7267	116	-0.5793	69	2.0573	118	-1.7812	71	-0.3548	38	-2.5727
jour	2935	515	4.9853	162	2.504	740	-1.2091	94	-0.5682	347	0.6645	92	0.3827	37	-5.6443	161	-6.1618	420	4.9502	76	-4.7796	39	-1.058	123	-0.9001	83	1.2009	46	-0.9997
venir	2911	595	16.4893	110	-1.3476	479	-37.4421	134	3.2942	179	-21.2158	105	1.309	96	2.4321	459	45.9062	384	2.1189	91	-2.1978	61	1.3708	130	-0.4724	53	-1.6015	35	-2.6844
aller	2907	735	49.8564	132	0.3972	320	-94.1402	127	2.3899	257	-5.2242	65	-2.3478	135	10.9526	425	34.8574	313	-1.2268	79	-4.0179	56	0.8319	94	-4.0904	78	0.8217	91	5.2653
rendre	2837	412	-0.3805	111	-1.0227	796	1.5192	98	0.3152	288	-1.6489	109	1.9872	39	-4.5529	188	-1.9647	277	-3.2657	141	2.15	64	1.983	187	5.6865	106	5.2085	21	-6.6664
devoir	2796	405	-0.4029	132	0.618	625	-6.57	89	-0.5899	214	-10.2935	131	5.734	49	-2.2236	210	-0.5015	285	-2.2116	195	12.5224	131	24.1671	204	9.359	102	4.6345	24	-5.3047
croire	2742	354	-2.3795	131	0.6959	571	-11.4706	86	-0.6635	147	-27.0291	217	34.7537	82	1.2943	256	2.7884	241	-6.3399	303	53.9808	76	4.7207	167	3.4666	72	0.6801	39	-1.4737
deux	2680	529	12.1215	139	1.463	651	-2.2902	93	0.3304	510	30.4888	26	-12.5217	36	-4.5668	176	-2.0269	150	-26.6993	63	-5.8665	15	-6.6247	111	-0.9496	35	-4.2634	146	27.5191
après	2670	551	16.1502	56	-10.222	760	1.9581	107	1.2343	282	-0.9814	41	-6.4228	35	-4.7973	172	-2.3314	317	0.3933	64	-5.5481	40	-0.5437	143	1.3148	57	-0.6394	45	-0.6416
rien	2529	232	-16.2358	99	-0.9579	681	0.5063	92	0.529	109	-35.723	105	2.8883	106	6.594	357	26.6326	271	-1.2029	179	12.0999	41	-0.3195	142	1.8591	70	0.9584	45	-0.4463
peu	2471	343	-0.8687	51	-9.8008	619	-1.2556	101	1.364	237	-2.5668	93	1.5863	73	1.1258	218	1.5217	273	-0.7924	204	20.5919	30	-1.361	112	-0.3837	68	0.911	49	0.3916
moins	2453	235	-13.5482	87	-1.7898	818	13.5239	96	0.9811	200	-6.9612	119	5.9798	56	-0.5311	186	-0.4226	162	-16.8078	236	32.9186	51	1.1863	137	1.7495	51	-0.7291	19	-5.5052
cœur	2366	107	-56.9856	69	-4.039	877	28.9534	99	1.5617	70	-50.5378	127	8.7245	66	0.7447	236	4.1689	282	0.4156	139	5.0172	59	2.7417	126	1.1683	93	5.5015	16	-6.3241
aussi	2350	300	-2.3844	118	1.0347	590	-1.1674	56	-2.677	242	-1.2503	66	-0.5727	84	3.1258	314	19.8793	190	-8.2356	134	4.2809	48	1.0526	100	-0.7098	68	1.2245	40	-0.575
parler	2307	358	0.8685	136	3.202	355	-36.8041	71	-0.7134	201	-4.6852	46	-2.9658	87	3.934	340	28.7388	348	6.1826	159	10.0121	27	-1.4706	59	-6.8403	74	2.1555	46	0.4028
grand	2237	429	8.3834	198	18.8234	301	-50.0402	38	-6.276	565	73.9862	41	-3.6808	59	0.4801	117	-5.8977	249	-0.6819	54	-4.6718	47	1.1887	23	-21.7752	43	-1.0572	73	4.9455
jamais	2180	136	-34.5022	146	6.0206	581	0.3606	67	-0.7027	177	-6.3982	121	9.1809	55	0.3333	146	-1.5132	306	3.2706	160	12.115	44	0.9485	110	0.6916	82	4.2963	49	0.8637
répondre	2163	483	20.7374	35	-12.4969	420	-14.0486	77	0.4152	134	-15.7155	50	-1.6499	66	1.275	297	20.552	189	-5.3284	222	35.0415	34	-0.3813	81	-1.6429	31	-2.8614	44	0.4572
mettre	2144	428	10.6621	106	0.8649	429	-11.7916	76	0.3983	231	-0.6752	44	-2.5545	39	-1.6001	179	0.768	365	12.5728	79	-0.6347	11	-5.9105	76	-2.1636	27	-3.8152	54	1.582
