frpos	F
NOM	303111
PRO:PER	266714
PRP	228816
PUN	153369
ADV	146285
DET:ART	132601
KON	116996
VER:pres	99619
VER:infi	79925
ADJ	77036
SENT	69507
PRO:REL	57913
VER:pper	56717
DET:POS	55879
VER:simp	45470
PRO:DEM	36079
PRP:det	30766
NAM	29429
VER:impf	29049
PRO:IND	17709
VER:subi	12093
VER:ppre	10824
VER:futu	10497
NUM	10352
VER:cond	7074
VER:subp	5422
INT	2608
PRO:POS	1678
PUN:cit	1252
PRO	775
ABR	334
VER:impe	52
